image_path,description
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/1000_F_451188858_pjmEN7GSJSdjWsx9tC9AXadiTmrXWozK_jpg.rf.5fde5089cd3efb70664c131ca71e7e12.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114852-795_jpg.rf.8302e936e91a848e98cfaec4300c7e87.jpg,There are 2 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/240_F_467509272_bAIsmTDHgerv0vs1iqANG9I9RAHIOIHI_jpg.rf.712de300b4d5c271031a2b2fbd273840.jpg,There are 8 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/1000_F_464711911_Y1UWL6VDqqoIOdBRxkcAnzNnJ2AK91la_jpg.rf.e1b0ce68e2100cc27d7717ab1ec1270f.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114849-819_jpg.rf.76557cc7e1661b02d807374377ff97bf.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114850-552_jpg.rf.4612fb80f14a8e01ee458a4089a24227.jpg,There are 0 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114853-930_jpg.rf.db34f0ab64fc687a318994cb60847537.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114853-117_jpg.rf.b0d89b307cf88fc6405c47e4fc94c986.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114850-098_jpg.rf.33e6acdf0969e6515bfe18c2210b8b31.jpg,There are 5 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114851-161_jpg.rf.a25bf0fa377ce77d6f1394235cbcbdff.jpg,There are 3 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/033154971-f66a3e8c-97c1-47f6-b590-afc8d761ca2e_jpg.rf.82748684ce7392ff865e0a4d7a7312fb.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/240_F_314595414_ywJehivWZKSE3FC0z8bmtGhETyed5hUt_jpg.rf.47f3c968561d43e4071e3510ef1f8276.jpg,There are 2 open-saffron flower and 2 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/240_F_467508907_zieFozN8V3JYbkeQZNgAgwOEdJrxc8Kg_jpg.rf.0ca03d83ce1c81134dae0b09094fce48.jpg,There are 2 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114850-402_jpg.rf.b57887b30c4be3762ffecbe7bfce1e94.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114904-627_jpg.rf.5432710dd180c4272008d8e73f7def07.jpg,There are 0 open-saffron flower and 2 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114859-068_jpg.rf.f96300fca47118b745c3dea375a2f156.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/1000_F_470476375_IsaVN03YeqKqOBG89K0RbwntVjjaVS9u_jpg.rf.95056d78e3011891a7020eaa0617b8cc.jpg,There are 4 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/1000_F_542712179_CP6NBzcnDO4wHRLlUnAASECL0lqgATnc_jpg.rf.0f5df52f1ebb4487ba85fc0f5089fd5e.jpg,There are 2 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/crocus_sativus_1200a_jpg.rf.d1fca1eb89a697515ba5870578021c39.jpg,There are 3 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/download-13-_jpg.rf.ddf45a2336efb512e834805ae2c186fc.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114849-724_jpg.rf.1bb912382edf2d3097453a2a5a45053c.jpg,There are 2 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114846-336_jpg.rf.3afda3a9dfbb5f0f7436bd980485debe.jpg,There are 3 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/240_F_125576825_PCQ0qfxZi9b9bHSUOz7FTK2WnM6alyj0_jpg.rf.dcc39f2c3369d0f8b6037bbd0e27e98f.jpg,There are 5 open-saffron flower and 1 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/1000_F_470474117_LLLZsyN3sIhcIuoFUvnPmS5aY1wS5HM5_jpg.rf.e5ce90bb091c112717b868a630234454.jpg,There are 2 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/1000_F_390678194_SaNpSUwZNyENz01UFYTv0OwlxsXOGIJZ_jpg.rf.d336029cd62f7f5cab6fcbf4c44d6e07.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114848-818_jpg.rf.5cb3e8c0065805361f5eeecaba5555d2.jpg,There are 11 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-2022-08-07T114856-303_jpg.rf.e35fd93f7f6b3dd8573909a60859f1dd.jpg,There are 1 open-saffron flower and 0 close-saffron flower
/home/philipslinux/Documents/trieu_others/smark_picking_saffron/inpainting/dataset_masked/train/images/images-55-_jpg.rf.9def0808d1de2ef4cc1031b8b4b16f00.jpg,There are 1 open-saffron flower and 0 close-saffron flower
